receipt_no.,completion_time,details,transaction_status,paid_in,withdrawn,balance
MP577015,2025-02-17 10:37:17,Withdrawal at Agent,Failed,0.0,3724.8,2799.25
MP504647,2025-04-24 10:37:17,Withdrawal at Agent,Completed,0.0,842.3,8039.49
MP427159,2024-12-28 10:37:17,Airtime Purchase,Completed,0.0,0.0,9693.42
MP918845,2025-05-27 10:37:17,Withdrawal at Agent,Completed,0.0,494.49,7252.84
MP106895,2024-12-27 10:37:17,Airtime Purchase,Completed,0.0,0.0,8486.1
MP267734,2025-03-16 10:37:17,Buy Goods,Completed,0.0,1036.44,320.54
MP205049,2025-03-22 10:37:17,Withdrawal at Agent,Completed,0.0,4524.57,5803.54
MP614229,2025-05-07 10:37:17,Airtime Purchase,Completed,0.0,0.0,391.89
MP906579,2025-01-01 10:37:17,Deposit from M-PESA,Completed,674.21,0.0,4555.49
MP583591,2025-06-07 10:37:17,Withdrawal at Agent,Completed,0.0,3721.54,9390.49
MP346167,2024-12-22 10:37:17,Buy Goods,Completed,0.0,786.99,9721.23
MP133865,2025-03-28 10:37:17,Airtime Purchase,Completed,0.0,0.0,8434.76
MP909631,2025-03-27 10:37:17,Airtime Purchase,Completed,0.0,0.0,1175.34
MP747438,2025-01-27 10:37:17,Withdrawal at Agent,Completed,0.0,3613.24,5692.71
MP115784,2025-05-25 10:37:17,Buy Goods,Failed,0.0,2793.91,7424.64
MP120277,2025-04-10 10:37:17,Buy Goods,Completed,0.0,2087.48,8254.2
MP987599,2025-01-12 10:37:17,Buy Goods,Completed,0.0,164.57,8649.8
MP777728,2025-04-19 10:37:17,Send Money,Completed,0.0,3350.7,7157.95
MP828500,2025-05-29 10:37:17,Send Money,Completed,0.0,4289.32,367.37
MP960355,2025-01-11 10:37:17,Deposit from M-PESA,Completed,2507.07,0.0,9258.66
MP461458,2025-05-26 10:37:17,Send Money,Completed,0.0,1340.1,8339.28
MP184284,2025-04-13 10:37:17,Withdrawal at Agent,Completed,0.0,562.61,5619.62
MP471426,2025-05-25 10:37:17,Send Money,Completed,0.0,4027.9,7074.42
MP614393,2025-01-14 10:37:17,Withdrawal at Agent,Completed,0.0,3505.96,5676.2
MP459994,2025-06-09 10:37:17,Buy Goods,Failed,0.0,3759.55,4170.71
MP769090,2025-06-10 10:37:17,Withdrawal at Agent,Failed,0.0,3250.56,7315.55
MP343667,2025-01-22 10:37:17,Airtime Purchase,Completed,0.0,0.0,6944.3
MP828128,2025-03-08 10:37:17,Buy Goods,Completed,0.0,102.58,3099.66
MP434752,2025-01-20 10:37:17,Withdrawal at Agent,Completed,0.0,1745.53,8737.27
MP306453,2025-06-05 10:37:17,Withdrawal at Agent,Completed,0.0,735.67,5589.87
MP740004,2025-02-20 10:37:17,Deposit from M-PESA,Completed,3119.62,0.0,608.56
MP967327,2025-04-18 10:37:17,Send Money,Completed,0.0,4436.72,7516.9
MP147356,2025-05-08 10:37:17,Airtime Purchase,Failed,0.0,0.0,9072.8
MP232969,2025-03-10 10:37:17,Send Money,Completed,0.0,2994.9,7083.28
MP792801,2025-05-18 10:37:17,Buy Goods,Completed,0.0,3097.66,6464.19
MP625429,2025-02-10 10:37:17,Send Money,Completed,0.0,3200.86,131.95
MP563939,2025-05-27 10:37:17,Airtime Purchase,Completed,0.0,0.0,7355.67
MP490753,2025-04-27 10:37:17,Withdrawal at Agent,Completed,0.0,1963.95,4775.53
MP170147,2025-03-13 10:37:17,Buy Goods,Completed,0.0,4482.77,6012.61
MP210833,2025-02-09 10:37:17,Airtime Purchase,Completed,0.0,0.0,1149.91
MP230639,2025-05-07 10:37:17,Buy Goods,Completed,0.0,4548.01,901.71
MP584736,2025-04-14 10:37:17,Send Money,Completed,0.0,667.65,1010.25
MP949348,2025-03-13 10:37:17,Buy Goods,Completed,0.0,4372.39,533.84
MP118747,2025-03-31 10:37:17,Send Money,Failed,0.0,386.07,8398.23
MP865326,2025-02-12 10:37:17,Withdrawal at Agent,Completed,0.0,2658.6,7482.59
MP942850,2025-03-30 10:37:17,Withdrawal at Agent,Completed,0.0,1908.79,8327.38
MP511131,2025-03-14 10:37:17,Buy Goods,Completed,0.0,176.22,4685.27
MP416504,2025-03-13 10:37:17,Send Money,Completed,0.0,3793.83,1116.97
MP818879,2025-06-01 10:37:17,Withdrawal at Agent,Completed,0.0,3320.84,53.4
MP967680,2025-04-01 10:37:17,Deposit from M-PESA,Completed,2113.74,0.0,9952.14
MP849569,2025-06-09 10:37:17,Buy Goods,Completed,0.0,3895.12,111.64
MP892099,2025-06-07 10:37:17,Send Money,Completed,0.0,727.09,3855.71
MP945841,2025-02-01 10:37:17,Deposit from M-PESA,Completed,4693.57,0.0,7019.59
MP169951,2025-06-08 10:37:17,Send Money,Completed,0.0,3186.99,3490.64
MP917337,2024-12-28 10:37:17,Airtime Purchase,Completed,0.0,0.0,7329.54
MP707037,2025-03-21 10:37:17,Withdrawal at Agent,Completed,0.0,1865.83,4198.79
MP481841,2025-04-07 10:37:17,Airtime Purchase,Completed,0.0,0.0,3205.77
MP200641,2025-03-07 10:37:17,Send Money,Completed,0.0,4027.83,3998.6
MP810988,2025-01-12 10:37:17,Airtime Purchase,Completed,0.0,0.0,1402.08
MP211085,2025-02-18 10:37:17,Deposit from M-PESA,Completed,4025.58,0.0,8136.81
MP735598,2025-03-14 10:37:17,Withdrawal at Agent,Completed,0.0,4537.91,9248.37
MP543781,2025-01-11 10:37:17,Airtime Purchase,Completed,0.0,0.0,5714.37
MP576599,2025-03-29 10:37:17,Buy Goods,Completed,0.0,4929.02,3073.66
MP574284,2025-05-02 10:37:17,Withdrawal at Agent,Completed,0.0,4760.13,8004.77
MP398082,2025-05-07 10:37:17,Buy Goods,Completed,0.0,4089.8,2929.71
MP807298,2025-04-26 10:37:17,Airtime Purchase,Completed,0.0,0.0,5459.84
MP854754,2025-01-05 10:37:17,Buy Goods,Completed,0.0,679.71,7591.89
MP299082,2025-02-15 10:37:17,Withdrawal at Agent,Completed,0.0,1721.4,4139.92
MP914302,2024-12-22 10:37:17,Buy Goods,Completed,0.0,2547.11,9714.16
MP231532,2025-04-22 10:37:17,Airtime Purchase,Completed,0.0,0.0,6571.71
MP686021,2025-04-04 10:37:17,Buy Goods,Completed,0.0,1139.62,8701.35
MP312414,2025-02-25 10:37:17,Airtime Purchase,Completed,0.0,0.0,3499.76
MP741150,2025-02-27 10:37:17,Airtime Purchase,Completed,0.0,0.0,285.29
MP400382,2025-01-29 10:37:17,Buy Goods,Completed,0.0,4777.6,7798.74
MP995609,2025-01-16 10:37:17,Deposit from M-PESA,Completed,554.31,0.0,1638.59
MP185448,2025-01-28 10:37:17,Withdrawal at Agent,Completed,0.0,1327.55,8296.79
MP412312,2025-04-10 10:37:17,Send Money,Completed,0.0,3930.25,2316.13
MP513239,2024-12-24 10:37:17,Deposit from M-PESA,Completed,4254.33,0.0,3779.39
MP400124,2025-01-14 10:37:17,Send Money,Completed,0.0,1812.02,8070.99
MP883895,2025-03-23 10:37:17,Deposit from M-PESA,Failed,2414.45,0.0,4880.6
MP715187,2025-04-11 10:37:17,Send Money,Completed,0.0,1769.16,8481.84
MP293636,2025-01-27 10:37:17,Buy Goods,Completed,0.0,4958.12,6508.56
MP839212,2025-05-10 10:37:17,Send Money,Completed,0.0,1241.73,4012.63
MP646893,2025-01-03 10:37:17,Withdrawal at Agent,Completed,0.0,2647.07,3598.34
MP583930,2025-05-01 10:37:17,Buy Goods,Completed,0.0,3082.63,572.49
MP809666,2025-02-26 10:37:17,Deposit from M-PESA,Completed,2470.64,0.0,9552.18
MP369559,2025-06-11 10:37:17,Buy Goods,Completed,0.0,1443.47,3612.93
MP976330,2025-02-28 10:37:17,Airtime Purchase,Completed,0.0,0.0,1722.08
MP170715,2025-05-29 10:37:17,Withdrawal at Agent,Completed,0.0,1941.93,7020.5
MP726517,2025-06-01 10:37:17,Deposit from M-PESA,Completed,1954.3,0.0,1362.16
MP471970,2025-05-07 10:37:17,Deposit from M-PESA,Completed,533.67,0.0,3521.52
MP512338,2025-06-18 10:37:17,Deposit from M-PESA,Completed,2269.75,0.0,5563.54
MP474806,2025-04-22 10:37:17,Airtime Purchase,Completed,0.0,0.0,3510.11
MP332029,2025-06-04 10:37:17,Buy Goods,Completed,0.0,2300.84,4433.87
MP389279,2025-03-05 10:37:17,Withdrawal at Agent,Completed,0.0,4730.48,4112.37
MP956478,2025-01-09 10:37:17,Airtime Purchase,Completed,0.0,0.0,3528.86
MP741811,2025-04-13 10:37:17,Send Money,Completed,0.0,739.12,5631.24
MP450058,2025-03-28 10:37:17,Send Money,Completed,0.0,4524.17,6826.42
MP783870,2025-06-01 10:37:17,Buy Goods,Completed,0.0,4303.04,3142.72
MP426395,2025-02-08 10:37:17,Send Money,Completed,0.0,415.99,4088.14
MP120693,2025-03-16 10:37:17,Deposit from M-PESA,Completed,1583.68,0.0,9799.74
MP141656,2025-02-12 10:37:17,Airtime Purchase,Completed,0.0,0.0,2969.95
MP551288,2025-05-13 10:37:17,Deposit from M-PESA,Failed,4784.46,0.0,6054.0
MP761927,2025-04-18 10:37:17,Send Money,Completed,0.0,3913.98,3315.79
MP820302,2025-05-22 10:37:17,Buy Goods,Completed,0.0,2596.55,527.51
MP767198,2025-05-20 10:37:17,Send Money,Failed,0.0,2945.58,5032.07
MP830869,2025-05-18 10:37:17,Buy Goods,Completed,0.0,1961.88,3513.71
MP736413,2025-01-25 10:37:17,Deposit from M-PESA,Completed,3344.33,0.0,2165.29
MP181343,2025-05-02 10:37:17,Withdrawal at Agent,Completed,0.0,3953.06,4345.0
MP758315,2025-04-12 10:37:17,Send Money,Completed,0.0,4683.89,4911.64
MP891842,2025-05-21 10:37:17,Airtime Purchase,Completed,0.0,0.0,2957.53
MP837627,2025-01-02 10:37:17,Buy Goods,Completed,0.0,4326.0,5234.22
MP679904,2025-04-17 10:37:17,Deposit from M-PESA,Completed,2054.82,0.0,406.41
MP925099,2025-02-23 10:37:17,Airtime Purchase,Completed,0.0,0.0,2793.27
MP225473,2025-01-17 10:37:17,Buy Goods,Completed,0.0,1286.13,4501.93
MP246183,2025-05-13 10:37:17,Withdrawal at Agent,Completed,0.0,3972.57,4508.29
MP469642,2025-02-10 10:37:17,Withdrawal at Agent,Completed,0.0,1455.44,4992.3
MP374094,2025-05-28 10:37:17,Withdrawal at Agent,Completed,0.0,4246.56,3460.17
MP507749,2024-12-26 10:37:17,Send Money,Completed,0.0,1698.3,1129.43
MP910087,2025-05-09 10:37:17,Buy Goods,Completed,0.0,1743.04,1796.18
MP564140,2025-05-16 10:37:17,Deposit from M-PESA,Completed,4444.26,0.0,6157.35
MP154604,2025-05-04 10:37:17,Send Money,Completed,0.0,1924.32,6151.77
MP221592,2025-05-24 10:37:17,Deposit from M-PESA,Completed,4041.81,0.0,123.83
MP942578,2025-04-18 10:37:17,Buy Goods,Completed,0.0,3454.49,9553.22
MP985346,2025-01-19 10:37:17,Airtime Purchase,Completed,0.0,0.0,5965.77
MP379973,2025-02-07 10:37:17,Withdrawal at Agent,Completed,0.0,1838.27,6902.61
MP534984,2025-02-22 10:37:17,Withdrawal at Agent,Completed,0.0,1722.75,2012.32
MP644903,2025-02-25 10:37:17,Airtime Purchase,Completed,0.0,0.0,9891.02
MP360752,2025-03-11 10:37:17,Deposit from M-PESA,Completed,3780.02,0.0,7762.6
MP217938,2025-04-08 10:37:17,Withdrawal at Agent,Failed,0.0,863.49,1083.22
MP533381,2025-04-19 10:37:17,Buy Goods,Completed,0.0,3787.6,3700.52
MP335711,2024-12-25 10:37:17,Airtime Purchase,Completed,0.0,0.0,6022.68
MP290783,2025-02-20 10:37:17,Airtime Purchase,Completed,0.0,0.0,5348.42
MP596124,2025-05-02 10:37:17,Withdrawal at Agent,Completed,0.0,2940.52,324.44
MP421979,2025-04-28 10:37:17,Airtime Purchase,Completed,0.0,0.0,333.98
MP198190,2025-03-15 10:37:17,Send Money,Completed,0.0,282.68,4916.49
MP938340,2025-05-17 10:37:17,Withdrawal at Agent,Completed,0.0,3118.5,1079.79
MP338515,2025-04-30 10:37:17,Send Money,Completed,0.0,1848.73,1323.83
MP797802,2025-05-15 10:37:17,Withdrawal at Agent,Completed,0.0,3638.35,1692.27
MP754135,2025-02-06 10:37:17,Withdrawal at Agent,Completed,0.0,83.73,792.75
MP101787,2025-06-03 10:37:17,Deposit from M-PESA,Completed,3255.01,0.0,4481.62
MP599160,2025-03-08 10:37:17,Deposit from M-PESA,Completed,1922.5,0.0,3273.51
MP275417,2025-05-31 10:37:17,Send Money,Completed,0.0,202.89,5942.64
MP980681,2025-02-07 10:37:17,Airtime Purchase,Completed,0.0,0.0,4631.64
MP320207,2025-01-28 10:37:17,Deposit from M-PESA,Completed,201.41,0.0,9288.34
MP524926,2025-02-02 10:37:17,Send Money,Completed,0.0,1456.91,361.6
MP686530,2025-04-11 10:37:17,Send Money,Completed,0.0,140.09,4519.95
MP591159,2025-04-02 10:37:17,Buy Goods,Completed,0.0,2262.57,4485.98
MP255128,2025-01-30 10:37:17,Buy Goods,Failed,0.0,2469.73,6759.46
MP107811,2025-03-22 10:37:17,Buy Goods,Completed,0.0,3296.7,8010.54
MP932219,2025-05-24 10:37:17,Airtime Purchase,Completed,0.0,0.0,6679.83
MP507085,2025-01-14 10:37:17,Deposit from M-PESA,Completed,328.06,0.0,3121.52
MP290240,2025-03-12 10:37:17,Withdrawal at Agent,Completed,0.0,2128.76,2794.35
MP659368,2025-04-13 10:37:17,Buy Goods,Completed,0.0,269.89,7277.87
MP936328,2025-04-11 10:37:17,Send Money,Completed,0.0,3857.06,2505.51
MP800273,2025-02-08 10:37:17,Deposit from M-PESA,Completed,1596.19,0.0,5594.46
MP968301,2025-01-08 10:37:17,Deposit from M-PESA,Completed,3653.94,0.0,2132.97
MP708145,2025-02-07 10:37:17,Send Money,Completed,0.0,2601.5,1441.24
MP753815,2025-02-21 10:37:17,Withdrawal at Agent,Completed,0.0,3623.34,435.55
MP704160,2024-12-20 10:37:17,Send Money,Completed,0.0,2270.96,4636.47
MP785868,2025-05-17 10:37:17,Send Money,Completed,0.0,3712.51,5642.8
MP270254,2025-05-23 10:37:17,Buy Goods,Completed,0.0,2885.34,7891.23
MP207665,2025-01-31 10:37:17,Withdrawal at Agent,Completed,0.0,2188.48,23.07
MP856271,2025-01-15 10:37:17,Withdrawal at Agent,Completed,0.0,1142.31,1440.31
MP728308,2025-05-27 10:37:17,Deposit from M-PESA,Completed,3845.26,0.0,9120.84
MP179459,2025-02-24 10:37:17,Deposit from M-PESA,Completed,1544.04,0.0,5901.04
MP812242,2025-05-16 10:37:17,Deposit from M-PESA,Completed,1242.63,0.0,8806.97
MP788122,2024-12-22 10:37:17,Send Money,Completed,0.0,2880.08,8458.98
MP794977,2025-02-14 10:37:17,Airtime Purchase,Completed,0.0,0.0,4984.94
MP208434,2025-01-28 10:37:17,Deposit from M-PESA,Failed,658.24,0.0,6005.07
MP711115,2025-05-17 10:37:17,Send Money,Completed,0.0,4773.36,6593.05
MP979290,2025-03-08 10:37:17,Buy Goods,Completed,0.0,106.23,4440.27
MP552741,2024-12-26 10:37:17,Buy Goods,Completed,0.0,2392.16,4189.08
MP227206,2025-05-22 10:37:17,Buy Goods,Completed,0.0,205.02,7932.01
MP363073,2025-02-27 10:37:17,Deposit from M-PESA,Completed,2059.54,0.0,8167.65
MP256993,2025-04-19 10:37:17,Airtime Purchase,Completed,0.0,0.0,2067.87
MP783454,2025-01-10 10:37:17,Send Money,Completed,0.0,2294.5,3030.73
MP311132,2025-02-06 10:37:17,Buy Goods,Completed,0.0,4843.46,9704.23
MP784630,2025-05-09 10:37:17,Buy Goods,Completed,0.0,1501.32,4705.93
MP802327,2025-03-22 10:37:17,Send Money,Completed,0.0,4731.11,8567.76
MP899601,2025-05-25 10:37:17,Send Money,Completed,0.0,4572.05,6737.18
MP277636,2025-03-21 10:37:17,Deposit from M-PESA,Completed,4304.68,0.0,5186.87
MP515799,2025-05-05 10:37:17,Send Money,Completed,0.0,769.75,1855.23
MP593056,2025-03-25 10:37:17,Withdrawal at Agent,Completed,0.0,1985.19,6209.35
MP125893,2025-06-18 10:37:17,Deposit from M-PESA,Completed,810.25,0.0,4472.7
MP631061,2025-03-03 10:37:17,Withdrawal at Agent,Completed,0.0,4810.67,6126.27
MP155581,2025-06-02 10:37:17,Withdrawal at Agent,Completed,0.0,4480.83,1026.28
MP262336,2025-05-04 10:37:17,Withdrawal at Agent,Completed,0.0,1889.0,9557.19
MP114103,2025-04-11 10:37:17,Withdrawal at Agent,Completed,0.0,167.43,7090.37
MP864739,2025-04-29 10:37:17,Withdrawal at Agent,Completed,0.0,2953.34,3419.7
MP946495,2025-06-17 10:37:17,Buy Goods,Completed,0.0,4354.06,366.64
MP625554,2025-03-15 10:37:17,Buy Goods,Completed,0.0,3816.99,1508.67
MP734359,2025-05-11 10:37:17,Send Money,Failed,0.0,3056.41,9630.62
MP543931,2025-04-30 10:37:17,Withdrawal at Agent,Failed,0.0,552.18,8737.41
MP665664,2025-05-10 10:37:17,Send Money,Failed,0.0,2908.5,6194.0
MP944763,2025-01-03 10:37:17,Deposit from M-PESA,Failed,3806.3,0.0,7643.05
MP704073,2025-04-12 10:37:17,Deposit from M-PESA,Completed,3590.65,0.0,9426.3
MP440600,2025-05-18 10:37:17,Withdrawal at Agent,Completed,0.0,868.59,8510.86
MP542316,2025-03-13 10:37:17,Airtime Purchase,Completed,0.0,0.0,5879.15
MP627475,2025-03-11 10:37:17,Withdrawal at Agent,Completed,0.0,372.17,6766.41
MP269374,2025-03-09 10:37:17,Deposit from M-PESA,Completed,4037.58,0.0,3113.23
MP206599,2025-06-08 10:37:17,Buy Goods,Completed,0.0,3921.24,9208.25
MP273480,2025-05-29 10:37:17,Deposit from M-PESA,Completed,2896.2,0.0,9341.55
MP603050,2025-03-30 10:37:17,Send Money,Completed,0.0,1692.36,9645.16
MP509304,2025-02-07 10:37:17,Deposit from M-PESA,Failed,560.33,0.0,646.33
MP271654,2025-01-29 10:37:17,Withdrawal at Agent,Completed,0.0,4816.1,6787.43
MP829709,2025-05-07 10:37:17,Buy Goods,Completed,0.0,2444.35,9568.22
MP124606,2025-05-09 10:37:17,Send Money,Completed,0.0,4718.91,5191.44
MP566406,2024-12-27 10:37:17,Deposit from M-PESA,Completed,4020.51,0.0,9263.07
MP156276,2025-03-08 10:37:17,Send Money,Completed,0.0,4254.52,7680.06
MP490154,2025-02-18 10:37:17,Send Money,Completed,0.0,4916.99,3399.0
MP213059,2025-05-19 10:37:17,Send Money,Completed,0.0,2714.8,9365.52
MP801973,2025-01-15 10:37:17,Deposit from M-PESA,Completed,1682.83,0.0,8998.4
MP981758,2025-01-27 10:37:17,Buy Goods,Completed,0.0,2260.05,9265.0
MP343136,2025-02-27 10:37:17,Airtime Purchase,Completed,0.0,0.0,6022.59
MP826113,2025-05-14 10:37:17,Send Money,Failed,0.0,4785.27,1396.29
MP542770,2025-05-10 10:37:17,Withdrawal at Agent,Completed,0.0,1974.51,5559.3
MP435934,2025-05-17 10:37:17,Send Money,Completed,0.0,4635.72,9260.03
MP733359,2025-04-07 10:37:17,Withdrawal at Agent,Completed,0.0,2879.35,8404.54
MP296104,2025-05-14 10:37:17,Deposit from M-PESA,Completed,3609.78,0.0,3557.85
MP535792,2025-02-21 10:37:17,Send Money,Completed,0.0,341.98,6226.08
MP812504,2025-02-11 10:37:17,Withdrawal at Agent,Completed,0.0,482.53,9332.85
MP132239,2025-02-15 10:37:17,Airtime Purchase,Completed,0.0,0.0,5058.53
MP717100,2025-02-09 10:37:17,Withdrawal at Agent,Completed,0.0,1220.53,186.51
MP243542,2025-06-15 10:37:17,Buy Goods,Completed,0.0,132.89,8341.66
MP727530,2025-02-25 10:37:17,Deposit from M-PESA,Completed,3145.02,0.0,7454.76
MP472922,2024-12-22 10:37:17,Deposit from M-PESA,Completed,4756.03,0.0,3134.93
MP466651,2025-06-11 10:37:17,Send Money,Completed,0.0,173.7,9586.7
MP836890,2025-01-18 10:37:17,Deposit from M-PESA,Completed,3630.86,0.0,4207.16
MP125682,2025-04-04 10:37:17,Airtime Purchase,Completed,0.0,0.0,1354.44
MP750598,2025-03-12 10:37:17,Deposit from M-PESA,Completed,2249.95,0.0,3348.64
MP522238,2025-01-08 10:37:17,Send Money,Completed,0.0,933.05,768.57
MP179969,2025-01-26 10:37:17,Withdrawal at Agent,Completed,0.0,1613.51,7819.79
MP858550,2025-06-04 10:37:17,Send Money,Completed,0.0,3007.48,4087.69
MP534802,2024-12-25 10:37:17,Withdrawal at Agent,Completed,0.0,969.77,238.68
MP216345,2025-01-09 10:37:17,Send Money,Completed,0.0,3944.44,4816.02
MP593352,2025-03-02 10:37:17,Buy Goods,Completed,0.0,2760.3,566.51
MP988537,2025-04-27 10:37:17,Airtime Purchase,Completed,0.0,0.0,5132.67
MP777324,2025-01-13 10:37:17,Send Money,Completed,0.0,1106.42,24.87
MP175200,2025-03-03 10:37:17,Airtime Purchase,Completed,0.0,0.0,201.48
MP752224,2025-06-06 10:37:17,Deposit from M-PESA,Completed,4524.38,0.0,7513.17
MP753859,2025-05-26 10:37:17,Airtime Purchase,Completed,0.0,0.0,8563.68
MP258336,2025-03-22 10:37:17,Withdrawal at Agent,Completed,0.0,2862.58,3658.95
MP916148,2025-05-20 10:37:17,Deposit from M-PESA,Completed,4706.52,0.0,4360.21
MP945531,2025-04-28 10:37:17,Withdrawal at Agent,Completed,0.0,4505.46,8586.54
MP256138,2025-04-09 10:37:17,Withdrawal at Agent,Completed,0.0,4692.07,9386.78
MP998819,2025-02-21 10:37:17,Airtime Purchase,Completed,0.0,0.0,6779.62
MP698515,2025-01-22 10:37:17,Buy Goods,Completed,0.0,4884.38,7896.01
MP874431,2025-03-17 10:37:17,Buy Goods,Completed,0.0,3738.14,6961.2
MP966398,2025-02-06 10:37:17,Send Money,Completed,0.0,2923.23,1576.11
MP721638,2025-04-02 10:37:17,Withdrawal at Agent,Completed,0.0,1287.54,7414.52
MP773184,2025-04-26 10:37:17,Airtime Purchase,Completed,0.0,0.0,2170.02
MP291389,2025-02-17 10:37:17,Withdrawal at Agent,Completed,0.0,3817.93,4009.1
MP952856,2025-05-14 10:37:17,Deposit from M-PESA,Completed,588.84,0.0,1008.92
MP706382,2025-04-13 10:37:17,Send Money,Completed,0.0,3755.34,7774.44
MP920424,2025-01-19 10:37:17,Withdrawal at Agent,Completed,0.0,2622.65,5214.17
MP595597,2025-03-01 10:37:17,Deposit from M-PESA,Completed,1383.85,0.0,4065.95
MP455435,2025-01-27 10:37:17,Buy Goods,Completed,0.0,349.54,6010.13
MP559103,2025-05-03 10:37:17,Airtime Purchase,Completed,0.0,0.0,1894.2
MP902266,2024-12-30 10:37:17,Buy Goods,Completed,0.0,2732.9,3422.17
MP939031,2025-01-11 10:37:17,Send Money,Completed,0.0,1656.72,2575.04
MP144121,2025-05-11 10:37:17,Airtime Purchase,Completed,0.0,0.0,3900.1
MP730045,2025-04-17 10:37:17,Airtime Purchase,Failed,0.0,0.0,6969.25
MP171559,2025-01-16 10:37:17,Deposit from M-PESA,Completed,1424.44,0.0,2787.02
